WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,03/02/2026,WTA500,Outdoor,Hard,2nd Round,3,Kessler M.,Fernandez L.A.,32,25,1395,1701,6,3,6,2,,,2,0,Completed,2.1,1.73,,,2.25,1.73,2.13,1.69,2.4,1.7
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,03/02/2026,WTA500,Outdoor,Hard,2nd Round,3,Baptiste H.,Navarro E.,56,17,1071,2095,7,6,0,6,6,3,2,1,Completed,3,1.4,,,3,1.42,2.87,1.4,3.1,1.46
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,03/02/2026,WTA500,Outdoor,Hard,2nd Round,3,Tauson C.,Waltert S.,16,94,2345,786,6,3,6,1,,,2,0,Completed,1.29,3.75,,,1.44,3.8,1.31,3.4,1.31,4
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,04/02/2026,WTA500,Outdoor,Hard,2nd Round,3,Alexandrova E.,Yastremska D.,11,43,2983,1175,6,3,6,0,,,2,0,Completed,1.44,2.75,,,1.55,2.8,1.5,2.54,1.51,2.92
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,04/02/2026,WTA500,Outdoor,Hard,2nd Round,3,Bejlek S.,Ostapenko J.,101,24,753,1801,6,4,6,3,,,2,0,Completed,1.8,2,,,1.94,2.1,1.84,1.94,1.92,2.06
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,04/02/2026,WTA500,Outdoor,Hard,2nd Round,3,Kartal S.,Zarazua R.,61,92,1004,804,6,0,6,3,,,2,0,Completed,,,,,1.07,12.5,1.06,9.83,,
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,04/02/2026,WTA500,Outdoor,Hard,2nd Round,3,Eala A.,Sasnovich A.,45,109,1163,710,2,6,6,4,7,6,2,1,Completed,1.57,2.38,,,1.6,2.43,1.57,2.34,1.61,2.58
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,05/02/2026,WTA500,Outdoor,Hard,Quarterfinals,3,Tauson C.,Kessler M.,16,32,2345,1395,6,3,6,4,,,2,0,Completed,1.57,2.38,,,1.85,2.4,1.63,2.26,1.66,2.48
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,05/02/2026,WTA500,Outdoor,Hard,Quarterfinals,3,Bejlek S.,Kartal S.,101,61,753,1004,6,0,6,2,,,2,0,Completed,3.5,1.3,,,3.6,1.47,3.25,1.33,3.75,1.35
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,05/02/2026,WTA500,Outdoor,Hard,Quarterfinals,3,Alexandrova E.,Eala A.,11,45,2983,1163,6,3,6,3,,,2,0,Completed,1.29,3.75,,,1.3,3.85,1.29,3.6,1.32,4
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,05/02/2026,WTA500,Outdoor,Hard,Quarterfinals,3,Baptiste H.,Samsonova L.,56,18,1071,2062,6,2,4,6,6,4,2,1,Completed,3.2,1.36,,,3.5,1.4,3.06,1.36,3.35,1.41
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,06/02/2026,WTA500,Outdoor,Hard,Semifinals,3,Alexandrova E.,Baptiste H.,11,56,2983,1071,3,6,7,6,6,3,2,1,Completed,1.25,4,,,1.27,4,1.25,3.8,1.29,4.3
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,06/02/2026,WTA500,Outdoor,Hard,Semifinals,3,Bejlek S.,Tauson C.,101,16,753,2345,7,5,3,6,7,5,2,1,Completed,2.75,1.44,,,2.95,1.45,2.78,1.42,2.96,1.5
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,07/02/2026,WTA500,Outdoor,Hard,The Final,3,Bejlek S.,Alexandrova E.,101,11,753,2983,7,6,6,1,,,2,0,Completed,3,1.4,,,3,1.57,2.83,1.42,3.1,1.46
